winner,count
163,152
154,136
438,136
428,134
314,133
432,133
394,130
214,130
249,128
427,127
155,127
522,125
164,125
410,125
147,124
133,124
477,124
570,123
340,123
544,122
540,122
727,122
704,121
430,121
682,121
93,121
732,120
24,119
541,119
276,119
8,119
165,119
677,119
557,119
694,118
679,118
549,118
717,118
551,117
212,117
629,117
700,117
426,116
259,116
418,116
797,116
131,116
513,116
554,115
7,115
542,115
658,115
135,115
635,115
20,115
9,114
553,114
350,114
205,114
103,113
275,113
444,113
409,113
184,113
745,113
574,113
576,113
414,113
710,112
23,112
431,112
702,112
467,112
528,112
614,111
481,111
248,111
490,111
552,111
794,111
272,111
301,110
550,110
339,110
476,109
623,109
524,109
773,109
616,109
264,109
110,109
715,108
690,108
705,108
57,108
758,108
316,108
71,108
726,107
792,107
772,107
349,107
270,107
420,107
125,107
793,107
234,106
606,106
572,106
424,106
697,106
478,106
701,105
32,105
138,105
362,105
718,105
674,105
228,104
344,104
608,104
280,104
724,104
465,103
261,103
44,103
588,103
526,103
643,103
590,103
699,103
28,103
59,103
581,102
472,102
139,102
26,101
288,101
708,100
714,100
583,100
172,100
633,100
713,100
159,100
706,99
711,99
429,99
134,99
663,99
737,98
716,98
786,98
537,98
494,97
423,97
48,97
421,97
307,97
603,96
499,96
136,96
124,95
157,95
453,94
166,94
703,94
518,94
766,94
80,94
232,94
475,93
158,93
31,93
748,93
142,93
223,93
177,93
55,92
422,92
341,92
692,92
538,92
785,92
731,92
171,92
531,91
747,91
85,91
649,91
263,91
425,91
521,91
610,91
707,91
58,91
65,91
254,90
534,90
67,90
498,90
535,90
367,90
209,90
337,89
546,89
611,89
799,89
648,89
393,89
709,89
3,89
503,88
193,88
102,88
169,88
536,88
250,88
634,88
162,87
631,87
92,87
70,87
206,87
116,87
84,86
527,86
313,86
72,86
300,86
181,86
687,86
505,85
543,85
600,85
63,85
484,85
286,85
495,85
306,84
216,84
446,84
13,83
646,83
388,83
366,82
141,82
768,82
493,82
115,82
336,82
756,81
380,81
342,81
175,81
260,81
496,81
137,81
233,81
582,80
735,80
383,80
19,80
474,80
130,80
795,80
397,80
533,79
153,79
61,79
547,79
79,79
539,79
406,79
40,79
279,79
299,79
437,79
519,79
368,79
245,78
127,78
398,78
508,78
265,78
451,77
712,77
284,77
101,77
230,77
338,77
271,77
343,76
740,76
132,76
274,76
229,76
16,75
401,75
800,75
443,75
219,74
548,74
387,74
244,74
545,74
520,73
377,73
568,72
685,72
651,72
291,72
587,72
560,72
257,72
30,72
612,72
473,71
725,71
99,71
469,71
787,71
532,71
480,71
361,70
589,70
778,70
647,70
269,70
372,70
4,70
483,70
148,70
246,70
296,69
760,69
242,69
565,69
146,69
370,69
95,68
179,68
525,68
56,68
729,68
68,68
466,68
671,68
507,68
656,68
598,68
723,67
311,67
213,67
108,67
109,66
186,66
204,66
632,66
628,66
348,66
681,66
364,66
37,66
563,65
613,65
202,65
638,65
462,65
320,65
25,65
104,65
283,65
22,64
